code,name,defaultArticle.color.text,images
0714032_group_037,Skinny Fit Suit Pants,Dark blue,https://image.hm.com/assets/hm/8f/85/8f85540515140c3d2f464ce78d77a9bfe163472b.jpg
1064346_group_021,Regular Fit Linen-blend Pants,Gray melange,https://image.hm.com/assets/hm/24/6f/246f5997d02a0982d98835ed242e3cec2d4fcc25.jpg
0839915_group_027,Slim Fit Suit Vest,Black,https://image.hm.com/assets/hm/65/b9/65b9bf8bd463702dbe63cd6b227a8f2872a04951.jpg
0783354_group_023,Slim Fit Linen Jacket,Green,https://image.hm.com/assets/hm/86/f5/86f589d695c5e8f052a2310f625f84c597998c41.jpg
0713995_group_054,Skinny Fit Jacket,Burgundy,https://image.hm.com/assets/hm/9a/90/9a90b87eb157997be266805dca412e04e088f066.jpg
1074406_group_001,Slim Fit Pants,Black,https://image.hm.com/assets/hm/f0/23/f023dc8de56549f3a1e0725c5503162a57eea134.jpg
0714032_group_048,Skinny Fit Suit Pants,Dark gray,https://image.hm.com/assets/hm/63/b4/63b40ee7b2e4a89284276d0e1fa652de8fa558a1.jpg
0714026_group_062,Slim Fit Suit Pants,Dark gray melange,https://image.hm.com/assets/hm/76/6c/766c477495a958d3bf6038e2f8b2c06210d62b10.jpg
0714026_group_064,Slim Fit Suit Pants,Dark gray-green,https://image.hm.com/assets/hm/36/01/3601f280eb67da28ab6b48b8680e98708839b80c.jpg
0929428_group_003,Regular Fit Suit Pants,Black,https://image.hm.com/assets/hm/ea/1e/ea1e17100150bcb5f161ab1585bcea4fa2693577.jpg
0714026_group_063,Slim Fit Suit Pants,Dark blue,https://image.hm.com/assets/hm/03/5f/035f68326613df14c0e3ecbcc3b1cd15fedfda84.jpg
0713986_group_067,Slim Fit Jacket,Khaki green,https://image.hm.com/assets/hm/80/15/80155968d52150c90dbd9d37ca9c770376aab47e.jpg
1064020_group_013,Regular Fit Rib-knit Resort Shirt,Dark taupe,https://image.hm.com/assets/hm/4d/bd/4dbd9a2b1971af395acb85baa775a3de30e66419.jpg
0783354_group_026,Slim Fit Linen Jacket,Sky blue,https://image.hm.com/assets/hm/3e/df/3edf841e9853b1c2aa6d6cf066c9636da19be158.jpg
0713995_group_046,Skinny Fit Jacket,Dark blue,https://image.hm.com/assets/hm/3d/10/3d106503248abe68a48c5e4401629979bb9c6f77.jpg
0714026_group_068,Slim Fit Suit Pants,Light beige,https://image.hm.com/assets/hm/9a/11/9a113712bb917e853c24d444d7bf6dda63e84f0b.jpg
0656677_group_068,Patterned Resort Shirt,Beige/white striped,https://image.hm.com/assets/hm/86/dc/86dcabe65da486cf2d1e2d887e1318abf13ffa15.jpg
0993173_group_002,Muscle Fit Band-collar Shirt,Black,https://image.hm.com/assets/hm/b8/a9/b8a96ed3361df33ca55c22e13a16d54b7a1fc2d1.jpg
0714026_group_067,Slim Fit Suit Pants,Navy blue,https://image.hm.com/assets/hm/5b/f9/5bf9197fd13ada1508fa158c644706e00950545a.jpg
0713986_group_065,Slim Fit Jacket,Gray,https://image.hm.com/assets/hm/23/74/23744d23f93f8522bacd4e6764ff164c14b71cfd.jpg
0783354_group_019,Slim Fit Linen Jacket,Dark blue,https://image.hm.com/assets/hm/76/db/76db0e28c0517540bc7618792cbd551cfda816eb.jpg
0713995_group_055,Skinny Fit Jacket,Dark gray,https://image.hm.com/assets/hm/c8/68/c868db5bd11c4e747aff81bdae1d21da5b6a6a23.jpg
0965257_group_021,Regular Fit Linen-blend Shirt,Dark blue,https://image.hm.com/assets/hm/1c/12/1c128de18d1c30890a24c617cfd4068e1550a41f.jpg
1035679_group_014,Regular Fit Linen Pants,White,https://image.hm.com/assets/hm/57/76/57764ef7e9d59da5850783705ba78b0cec0fbd2c.jpg
1074402_group_003,Slim Fit Cotton Twill Pants,Dark gray,https://image.hm.com/assets/hm/54/53/54537f837a0320b0cffa7c6dc107335ab3400978.jpg
0713995_group_050,Skinny Fit Jacket,Dark blue,https://image.hm.com/assets/hm/6d/ad/6dad45119c18fe17de296ee2e2d986fc269f4ced.jpg
1064020_group_015,Regular Fit Rib-knit Resort Shirt,Black,https://image.hm.com/assets/hm/ef/f8/eff8e6e93cddb95ddba70b5c7184ba65031ce3cc.jpg
1035679_group_004,Regular Fit Linen Pants,Cream,https://image.hm.com/assets/hm/5a/7c/5a7cd4c403fa62a41165dfa2ff888ce914321b94.jpg
0929432_group_003,Regular Fit Jacket,Black,https://image.hm.com/assets/hm/ba/ab/baabda01cf017a2e41a5c12176a3a9bd7f287240.jpg
0714032_group_049,Skinny Fit Suit Pants,Navy blue,https://image.hm.com/assets/hm/4e/ea/4eea0d4d208571c3b888fd26e8e1f921cf21d3fa.jpg
1074402_group_014,Slim Fit Cotton Twill Pants,Light beige,https://image.hm.com/assets/hm/81/f3/81f39c6d8ab4cdef0c9af7b64d0478ddb567bbd2.jpg
0783354_group_027,Slim Fit Linen Jacket,Dark beige,https://image.hm.com/assets/hm/0f/ff/0fffc7dfbf5954a12c2f9891f33554b68288fd83.jpg
1074402_group_002,Slim Fit Cotton Twill Pants,Navy blue,https://image.hm.com/assets/hm/af/0e/af0e72d9d59fa303d86f0238f0b2da3e8c665a60.jpg
1035679_group_005,Regular Fit Linen Pants,Black,https://image.hm.com/assets/hm/50/56/5056249f81d5d23c1de5e93f3603c1e1b368bbc7.jpg
0656677_group_080,Patterned Resort Shirt,Light blue/white striped,https://image.hm.com/assets/hm/a7/0d/a70d8fe712e5db14450491786ef551a053b33aba.jpg
1074406_group_003,Slim Fit Pants,Black/plaid,https://image.hm.com/assets/hm/43/91/4391801c82988ed67b7f7dd526ab82eeeae0c71d.jpg
1035679_group_018,Regular Fit Linen Pants,Navy blue,https://image.hm.com/assets/hm/16/16/1616b009c65dbb34b2c891d7c3e1e208ef3af9a7.jpg
1074406_group_002,Slim Fit Pants,Light gray/checked,https://image.hm.com/assets/hm/56/b3/56b3d03f58c36e0a7d6e6e1f8ea0bc29bd6028b0.jpg
