id,name,colour,brandName,imageUrl
201472009,Karl Kani oversized plush varsity hoodie with chest logo,CREAM,Karl Kani,https://images.asos-media.com/products/karl-kani-oversized-plush-varsity-hoodie-with-chest-logo/201472009-1-cream
205168419,I Saw It First sweetheart neckline mini skater dress in black spot print,Black,I Saw It First,https://images.asos-media.com/products/i-saw-it-first-sweetheart-neckline-mini-skater-dress-in-black-spot-print/205168419-1-black
205214954,Vans graphic logo tank in black,BROWN,Vans,https://images.asos-media.com/products/vans-graphic-logo-tank-in-black/205214954-1-brown
205327473,Abercrombie & Fitch sloane wide leg pants in black,Black,Abercrombie & Fitch,https://images.asos-media.com/products/abercrombie-fitch-sloane-wide-leg-pants-in-black/205327473-1-black
205347116,Abercrombie & Fitch 90s relaxed straight fit faux leather pants in black,Black,Abercrombie & Fitch,https://images.asos-media.com/products/abercrombie-fitch-90s-relaxed-straight-fit-faux-leather-pants-in-black/205347116-1-black
205413105,ASOS DESIGN Curve cotton twill shacket with pocket in ecru,Ecru,ASOS Curve,https://images.asos-media.com/products/asos-design-curve-cotton-twill-shacket-with-pocket-in-ecru/205413105-1-ecru
205436904,Topshop cotton casual shirt in stone,STONE,Topshop,https://images.asos-media.com/products/topshop-cotton-casual-shirt-in-stone/205436904-1-stone
205476168,Billabong forget me not sweatshirt in black,Black,Billabong,https://images.asos-media.com/products/billabong-forget-me-not-sweatshirt-in-black/205476168-1-black
205476185,Billabong On Island Time ruched hike bikini bottoms in orange,ORANGE,Billabong,https://images.asos-media.com/products/billabong-on-island-time-ruched-hike-bikini-bottoms-in-orange/205476185-1-orange
205496710,COLLUSION ruched tie side bikini bottoms in green - part of a set,GREEN,Collusion,https://images.asos-media.com/products/collusion-ruched-tie-side-bikini-bottoms-in-green-part-of-a-set/205496710-1-green
205496737,COLLUSION crinkle bandeau bikini top in black - part of a set,Black,Collusion,https://images.asos-media.com/products/collusion-crinkle-bandeau-bikini-top-in-black-part-of-a-set/205496737-1-black
205496756,COLLUSION crinkle high leg sporty bikini bottoms in black - part of a set,Black,Collusion,https://images.asos-media.com/products/collusion-crinkle-high-leg-sporty-bikini-bottoms-in-black-part-of-a-set/205496756-1-black
205532994,Sixth June mini skirt in pink - part of a set,PINK,Sixth June,https://images.asos-media.com/products/sixth-june-mini-skirt-in-pink-part-of-a-set/205532994-1-pink
205533019,Sixth June mini skirt in beige - part of a set,beige,Sixth June,https://images.asos-media.com/products/sixth-june-mini-skirt-in-beige-part-of-a-set/205533019-1-beige
205537195,Nike One Training Dri-Fit high rise leggings in purple,PURPLE,Nike Training,https://images.asos-media.com/products/nike-one-training-dri-fit-high-rise-leggings-in-purple/205537195-1-purple
205606690,COLLUSION double cloth shirred tiered cami maxi sun dress in washed mink,Mink,Collusion,https://images.asos-media.com/products/collusion-double-cloth-shirred-tiered-cami-maxi-sun-dress-in-washed-mink/205606690-1-mink
205612590,Reclaimed Vintage tie side triangle bikini bottom in floral print,multi,Reclaimed Vintage,https://images.asos-media.com/products/reclaimed-vintage-tie-side-triangle-bikini-bottom-in-floral-print/205612590-1-multi
205612727,Reclaimed Vintage long line cami in floral print,multi,Reclaimed Vintage,https://images.asos-media.com/products/reclaimed-vintage-long-line-cami-in-floral-print/205612727-1-multi
205645786,Miss Selfridge seamless short sleeve t-shirt in cream,CREAM,Miss Selfridge,https://images.asos-media.com/products/miss-selfridge-seamless-short-sleeve-t-shirt-in-cream/205645786-1-cream
205645810,Miss Selfridge seamless bralette cami top in sage,Khaki,Miss Selfridge,https://images.asos-media.com/products/miss-selfridge-seamless-bralette-cami-top-in-sage/205645810-1-khaki
205645812,Miss Selfridge seamless short sleeve unitard in black,Black,Miss Selfridge,https://images.asos-media.com/products/miss-selfridge-seamless-short-sleeve-unitard-in-black/205645812-1-black
205645826,Miss Selfridge seamless short sleeve unitard in khaki,Khaki,Miss Selfridge,https://images.asos-media.com/products/miss-selfridge-seamless-short-sleeve-unitard-in-khaki/205645826-1-khaki
205646147,Miss Selfridge seamless bralette cami top in black,Black,Miss Selfridge,https://images.asos-media.com/products/miss-selfridge-seamless-bralette-cami-top-in-black/205646147-1-black
205658149,ASOS Weekend Collective sweatpants with brown round logo in oatmeal - part of a set,Oatmeal marl,ASOS WEEKEND COLLECTIVE,https://images.asos-media.com/products/asos-weekend-collective-sweatpants-with-brown-round-logo-in-oatmeal-part-of-a-set/205658149-1-oatmealmarl
205664614,COLLUSION relaxed wide leg tailored pants in stone,STONE,Collusion,https://images.asos-media.com/products/collusion-relaxed-wide-leg-tailored-pants-in-stone/205664614-1-stone
205676429,Topshop Petite denim comfort stretch shorts in bleach,Vintage blue,Topshop Petite,https://images.asos-media.com/products/topshop-petite-denim-comfort-stretch-shorts-in-bleach/205676429-1-vintageblue
205696789,Topshop ruched waistband full hem maxi skirt in white,White,Topshop,https://images.asos-media.com/products/topshop-ruched-waistband-full-hem-maxi-skirt-in-white/205696789-1-white
205696997,Topshop ruche waistband full hem midi skirt in olive,Olive,Topshop,https://images.asos-media.com/products/topshop-ruche-waistband-full-hem-midi-skirt-in-olive/205696997-1-olive
205697021,Topshop broderie paneled disjointed knee length skirt in white,White,Topshop,https://images.asos-media.com/products/topshop-broderie-paneled-disjointed-knee-length-skirt-in-white/205697021-1-white
205697049,Topshop stripe sarong with buckle in green,Green,Topshop,https://images.asos-media.com/products/topshop-stripe-sarong-with-buckle-in-green/205697049-1-green
205721092,Bailey Rose drop waist 90s mini dress in black lace,Black,Bailey Rose,https://images.asos-media.com/products/bailey-rose-drop-waist-90s-mini-dress-in-black-lace/205721092-1-black
205721118,Bailey Rose micro denim mini skirt with Y2K detail,DENIM,Bailey Rose,https://images.asos-media.com/products/bailey-rose-micro-denim-mini-skirt-with-y2k-detail/205721118-1-denim
205721163,Bailey Rose 90s satin cami mini dress with contrast lace,Chocolate,Bailey Rose,https://images.asos-media.com/products/bailey-rose-90s-satin-cami-mini-dress-with-contrast-lace/205721163-1-chocolate
205733307,Topshop lace trim insert tie up vest in black,Black,Topshop,https://images.asos-media.com/products/topshop-lace-trim-insert-tie-up-vest-in-black/205733307-1-black
205736729,ASOS Weekend Collective baggy fit jeans in mid blue wash,Mid blue wash,ASOS WEEKEND COLLECTIVE,https://images.asos-media.com/products/asos-weekend-collective-baggy-fit-jeans-in-mid-blue-wash/205736729-1-midbluewash
205737215,ASOS DESIGN washed oversized tank with drop arm hole in washed sage,Washed khaki,ASOS DESIGN,https://images.asos-media.com/products/asos-design-washed-oversized-tank-with-drop-arm-hole-in-washed-sage/205737215-1-washedkhaki
205745167,ASOS DESIGN textured cotton shirred waist lace insert rara skirt in white,White,ASOS DESIGN,https://images.asos-media.com/products/asos-design-textured-cotton-shirred-waist-lace-insert-rara-skirt-in-white/205745167-1-white
205745178,ASOS DESIGN textured cotton shirred waist lace insert rara skirt in blue,Powder Blue,ASOS DESIGN,https://images.asos-media.com/products/asos-design-textured-cotton-shirred-waist-lace-insert-rara-skirt-in-blue/205745178-1-powderblue
205749794,JJXX linen blend long sleeve shirt in beige,Cement,JJXX,https://images.asos-media.com/products/jjxx-linen-blend-long-sleeve-shirt-in-beige/205749794-1-cement
205752842,ASOS DESIGN Curve seamed maxi tennis sundress in black,Black,ASOS Curve,https://images.asos-media.com/products/asos-design-curve-seamed-maxi-tennis-sundress-in-black/205752842-1-black
205752851,ASOS DESIGN Curve seamed maxi tennis sundress in khaki,Khaki,ASOS Curve,https://images.asos-media.com/products/asos-design-curve-seamed-maxi-tennis-sundress-in-khaki/205752851-1-khaki
205753069,Maya Premium embroidery cami maxi dress in blue floral,BLUE,Maya,https://images.asos-media.com/products/maya-premium-embroidery-cami-maxi-dress-in-blue-floral/205753069-1-blue
205753828,Miss Selfridge 2 pack lace trim rib cami top in white and gray heather,White And Gray Marl,Miss Selfridge,https://images.asos-media.com/products/miss-selfridge-2-pack-lace-trim-rib-cami-top-in-white-and-gray-heather/205753828-1-whiteandgreymarl
205754208,ASOS DESIGN racer neck crosshatch linen jumpsuit in dusty rose,Dusty rose,ASOS DESIGN,https://images.asos-media.com/products/asos-design-racer-neck-crosshatch-linen-jumpsuit-in-dusty-rose/205754208-1-dustyrose
205755910,Miss Selfridge low rise maxi skirt in gray heather,Gray Heather,Miss Selfridge,https://images.asos-media.com/products/miss-selfridge-low-rise-maxi-skirt-in-gray-heather/205755910-1-greymarl
205756063,Miss Selfridge low rise deep fold over waistband flare legging in gray heather,Gray Heather,Miss Selfridge,https://images.asos-media.com/products/miss-selfridge-low-rise-deep-fold-over-waistband-flare-legging-in-gray-heather/205756063-1-greymarl
205767039,COLLUSION denim cut off mini skirt in washed black,Black wash,Collusion,https://images.asos-media.com/products/collusion-denim-cut-off-mini-skirt-in-washed-black/205767039-1-blackwash
205771216,ASOS DESIGN scoop neck wide leg jumpsuit in mauve,MAUVE,ASOS DESIGN,https://images.asos-media.com/products/asos-design-scoop-neck-wide-leg-jumpsuit-in-mauve/205771216-1-mauve
205771456,ASOS DESIGN pleated square neck wide leg jumpsuit in burnt orange,Burnt orange,ASOS DESIGN,https://images.asos-media.com/products/asos-design-pleated-square-neck-wide-leg-jumpsuit-in-burnt-orange/205771456-1-burntorange
205792573,COLLUSION Plus beach linen look straight leg boxer pants in black,black,Collusion,https://images.asos-media.com/products/collusion-plus-beach-linen-look-straight-leg-boxer-pants-in-black/205792573-1-black
205793124,Calvin Klein CK 96 triangle bralet bikini top in black,Black,Calvin Klein,https://images.asos-media.com/products/calvin-klein-ck-96-triangle-bralet-bikini-top-in-black/205793124-1-black
205793149,Calvin Klein CK 96 bikini bottom in black,Black,Calvin Klein,https://images.asos-media.com/products/calvin-klein-ck-96-bikini-bottom-in-black/205793149-1-black
205794102,Tommy Jeans logo taping high leg cheeky bikini bottom in navy,NAVY,Tommy Hilfiger,https://images.asos-media.com/products/tommy-jeans-logo-taping-high-leg-cheeky-bikini-bottom-in-navy/205794102-1-navy
205804696,Miss Selfridge textured asymmetrical tiered frayed edge maxi skirt in lilac,Lilac,Miss Selfridge,https://images.asos-media.com/products/miss-selfridge-textured-asymmetrical-tiered-frayed-edge-maxi-skirt-in-lilac/205804696-1-lilac
205804939,Calvin Klein pure cotton slim boxer short in gray,Gray,Calvin Klein,https://images.asos-media.com/products/calvin-klein-pure-cotton-slim-boxer-short-in-gray/205804939-1-grey
205804951,Calvin Klein textured cotton sleep pant in white,WHITE,Calvin Klein,https://images.asos-media.com/products/calvin-klein-textured-cotton-sleep-pant-in-white/205804951-1-white
205805109,Calvin Klein CK 96 micro unlined bralette in coral,Coral,Calvin Klein,https://images.asos-media.com/products/calvin-klein-ck-96-micro-unlined-bralette-in-coral/205805109-1-coral
205816590,ASOS DESIGN one shoulder strappy ribbed mini dress in navy,Indigo wash,ASOS DESIGN,https://images.asos-media.com/products/asos-design-one-shoulder-strappy-ribbed-mini-dress-in-navy/205816590-1-indigowash
205816630,ASOS DESIGN one shoulder strappy ribbed mini dress in khaki,Khaki wash,ASOS DESIGN,https://images.asos-media.com/products/asos-design-one-shoulder-strappy-ribbed-mini-dress-in-khaki/205816630-1-khakiwash
205817658,JDY Petite long sleeve linen mix shirt in sage and white stripe - part of a set,�Turtledove/Stripes,JDY Petite,https://images.asos-media.com/products/jdy-petite-long-sleeve-linen-mix-shirt-in-sage-and-white-stripe-part-of-a-set/205817658-1-turtledovestripes
205817667,JDY Petite wide leg linen mix pants in sage and white stripe - part of a set,�Turtledove/Stripes,JDY Petite,https://images.asos-media.com/products/jdy-petite-wide-leg-linen-mix-pants-in-sage-and-white-stripe-part-of-a-set/205817667-1-turtledovestripes
205823143,ASOS DESIGN textured romper with corset waist in white ditsy print,WHITE TEXTURED FLORAL,ASOS DESIGN,https://images.asos-media.com/products/asos-design-textured-romper-with-corset-waist-in-white-ditsy-print/205823143-1-whiteditsydobby
205827403,Topshop denim pleated midi skirt in raw indigo,Indigo,Topshop,https://images.asos-media.com/products/topshop-denim-pleated-midi-skirt-in-raw-indigo/205827403-1-indigo
205831101,ASOS DESIGN textured romper with corset waist in lemon,LEMON,ASOS DESIGN,https://images.asos-media.com/products/asos-design-textured-romper-with-corset-waist-in-lemon/205831101-1-lemon
205854300,Tommy Jeans color block badge sweater in white,white,Tommy Jeans,https://images.asos-media.com/products/tommy-jeans-color-block-badge-sweater-in-white/205854300-1-white
205856626,Topshop ditsy floral seamed asymmetric skirt in buttermilk,Buttermilk,Topshop,https://images.asos-media.com/products/topshop-ditsy-floral-seamed-asymmetric-skirt-in-buttermilk/205856626-1-buttermilk
205859520,Kaiia textured bandeau maxi dress in peach,Peach,Kaiia,https://images.asos-media.com/products/kaiia-textured-bandeau-maxi-dress-in-peach/205859520-1-peach
205872343,Pretty Lavish linen blend cut-out jumpsuit in cream,Cream,Pretty Lavish,https://images.asos-media.com/products/pretty-lavish-linen-blend-cut-out-jumpsuit-in-cream/205872343-1-cream
205872420,Pretty Lavish linen blend vest in natural - part of a set,Natural,Pretty Lavish,https://images.asos-media.com/products/pretty-lavish-linen-blend-vest-in-natural-part-of-a-set/205872420-1-natural
205877060,Pretty Lavish linen blend shorts in natural - part of a set,Natural,Pretty Lavish,https://images.asos-media.com/products/pretty-lavish-linen-blend-shorts-in-natural-part-of-a-set/205877060-1-natural
205882659,SNDYS fine knit sequin low back cami maxi dress in baby blue,Baby blue,SNDYS,https://images.asos-media.com/products/sndys-fine-knit-sequin-low-back-cami-maxi-dress-in-baby-blue/205882659-1-babyblue
205882668,SNDYS satin one shoulder ruched maxi dress in black,Black,SNDYS,https://images.asos-media.com/products/sndys-satin-one-shoulder-ruched-maxi-dress-in-black/205882668-1-black
205882791,SNDYS one shoulder strappy back cut out detail thigh split maxi dress in white,WHITE,SNDYS,https://images.asos-media.com/products/sndys-one-shoulder-strappy-back-cut-out-detail-thigh-split-maxi-dress-in-white/205882791-1-white
205882830,SNDYS halterneck backless top in white,WHITE,SNDYS,https://images.asos-media.com/products/sndys-halterneck-backless-top-in-white/205882830-1-white
205884063,ASOS DESIGN t-shirt mini dress with shirred bust in blue wash,Washed blue,ASOS DESIGN,https://images.asos-media.com/products/asos-design-t-shirt-mini-dress-with-shirred-bust-in-blue-wash/205884063-1-washedblue
205887673,ASOS DESIGN sleeveless shirt with cutwork in cream - part of a set,Cream,ASOS DESIGN,https://images.asos-media.com/products/asos-design-sleeveless-shirt-with-cutwork-in-cream-part-of-a-set/205887673-1-cream
205914003,Heiress Beverly Hills exclusive premium corsage extreme plunge ruffle detail drape mini dress in white,WHITE,Heiress Beverly Hills,https://images.asos-media.com/products/heiress-beverly-hills-exclusive-premium-corsage-extreme-plunge-ruffle-detail-drape-mini-dress-in-white/205914003-1-white
205914029,Heiress Beverly Hills exclusive premium all over diamante mesh detail long sleeve maxi dress in beige,BEIGE,Heiress Beverly Hills,https://images.asos-media.com/products/heiress-beverly-hills-exclusive-premium-all-over-diamante-mesh-detail-long-sleeve-maxi-dress-in-beige/205914029-1-beige
205914054,Heiress Beverly Hills exclusive premium corsage ruffle detail high low maxi dress in light blue,LIGHT BLUE,Heiress Beverly Hills,https://images.asos-media.com/products/heiress-beverly-hills-exclusive-premium-corsage-ruffle-detail-high-low-maxi-dress-in-light-blue/205914054-1-lightblue
