id,name,description,imageUrl,keywordDescriptions
0,Cargo Joggers,Black,https://image.hm.com/assets/hm/ea/d7/ead79a8422df6e29abb8e0057c7dbf2d6658bf4c.jpg,"a black pants on a white background, a pair of black pants, a close-up of a zipper"
1,Slim Fit Easy-iron Shirt,Black,https://image.hm.com/assets/hm/1f/2c/1f2cbaabf4c3a97674acbfa042b2b90227380fc8.jpg,"a black shirt on a swinger, a black shirt on a swinger, a close up of a black shirt, a close-up of a button on a shirt"
2,Slim Fit Ribbed Tank Top,White,https://image.hm.com/assets/hm/75/9c/759c106a2e4dfa89df34ca8eb624a1fa56ecde41.jpg,"a white tank top on a white background, a white tank top on a white background, a white tank top on a white surface"
3,Regular Fit Crochet-look Resort Shirt,Dark beige,https://image.hm.com/assets/hm/58/7d/587d9030eb712583c637cd14933a2025a84e7143.jpg,"a brown shirt with black and white pattern, a brown shirt with black and white pattern, a close-up of a brown shirt, a close up of a shirt"
4,Regular Fit Sweatshorts,Light gray melange,https://image.hm.com/assets/hm/88/83/8883be3f79a1e8faf88fcbb44d7fd9061ef82741.jpg,"a pair of white shorts, a pair of white shorts, a pair of white shorts"
5,Regular Fit Linen-blend Pants,White,https://image.hm.com/assets/hm/bb/79/bb79892f3ca98c59acdc959168fa7501c686c057.jpg,"a pair of white pants, a close up of a white cloth"
6,Loose Fit Short-sleeved Linen-blend Shirt,White,https://image.hm.com/assets/hm/71/1e/711e17cf3ef78b2d989c61751f601bd4a972364d.jpg,"a white shirt on a white background, a white shirt on a swinger, a close up of a white shirt, a close-up of a button on a white shirt, a close up of a white shirt, a close up of a white shirt, close-up of a white collar"
7,Regular Fit Linen-blend Shirt,Light beige,https://image.hm.com/assets/hm/d5/9a/d59a0a9ccd4cc6ddeff0ffec007ae718b82e70fe.jpg,"a close up of a shirt, a close up of a shirt, a close up of a shirt, a close up of a cloth"
8,Regular Fit Sweatshorts,Light pink,https://image.hm.com/assets/hm/2d/d3/2dd3e72fc4c0e4aea687a990a2c57f5bf2fbdaf6.jpg,"a pair of pink shorts, a pair of pink shorts, a pair of pink shorts"
9,Loose Jeans,Light denim blue,https://image.hm.com/assets/hm/3e/8c/3e8c6db8ed6f2e1f1186906c1403985a3a7859d1.jpg,"a pair of blue jeans, a pair of blue jeans, a close-up of a button on a jean, a close up of a pair of jeans"
10,Regular Fit Linen-blend Pants,Sage green,https://image.hm.com/assets/hm/51/9a/519a561cca639a0b67e13ca89564f987c1c8b003.jpg,a close up of a pair of pants
11,Loose Fit Short-sleeved Linen-blend Shirt,Black,https://image.hm.com/assets/hm/97/02/9702a4a8c6b6e799faa456eb0b36bd875e97977a.jpg,"a black shirt on a swinger, a close up of a button on a black shirt, a button on a black shirt"
12,Regular Fit Linen-blend Shirt,Beige/white striped,https://image.hm.com/assets/hm/a6/5d/a65df46f86aacea6810db45ec34ad818cad86370.jpg,"a close up of a shirt, a close up of a shirt, a close up of a shirt"
13,Baggy Jeans,Denim blue,https://image.hm.com/assets/hm/4a/8f/4a8fa97579a7827b8fdc34d37448339aca36a204.jpg,"a pair of blue jeans, a pair of blue jeans, a close up of a pair of blue jeans, a close-up of a button on a jean, a close-up of a pocket, close up of a pair of blue jeans, a pair of blue jeans"
14,Long Regular Fit T-shirt,White,https://image.hm.com/assets/hm/15/b8/15b8c662780bc19036307d3b57aa70b52f223bf6.jpg,"a white t-shirt on a wall, a white shirt on a swinger"
15,Regular Fit Pointelle-knit T-shirt,Black,https://image.hm.com/assets/hm/7b/28/7b28bff8ec8e7dc9f0bc8768b70215a623f62c13.jpg,"a black t-shirt on a white background, a black shirt on a swinger"
16,Loose Fit T-shirt,Black,https://image.hm.com/assets/hm/a9/dc/a9dc669589ad414b8442a37f29441cd45675fbe1.jpg,"a black shirt on a white wall, a black shirt on a swinger, a close up of a black shirt"
17,Regular Fit Waffled Polo Shirt,Cream,https://image.hm.com/assets/hm/a5/93/a59385f75e8db1455d9de67b30f9d7820c13cb81.jpg,"a white shirt on a swinger, a close-up of a white collar, a close up of a paper towel, a white shirt with a tag"
18,Regular Fit Linen-blend Shirt,Black,https://image.hm.com/assets/hm/f7/fc/f7fc4504943c0e170725142acbb5374d2c14f4c4.jpg,"a black shirt on a swinger, a close up of a black shirt"
19,Regular Fit Nylon Cargo Shorts,Black,https://image.hm.com/assets/hm/a3/7d/a37db012d5f826763fece602dab3c7d44d8911c0.jpg,"a black shorts with pockets, a black shorts with a drawstring, a black shorts with pockets, a close up of a black shorts, a close-up of a black fabric, a close up of a black fabric, a close up of a black pocket"
20,Loose Fit Washed T-shirt,Dark gray,https://image.hm.com/assets/hm/a5/23/a5239beca5b5b099694a31cf95a0a669617bf9cb.jpg,"a close-up of a pocket, a close up of a suit, a close up of a pocket, a close up of a pocket"
21,Loose Fit T-shirt,White/Discovery Channel,https://image.hm.com/assets/hm/81/8c/818cd0bba7795270b30853b6d44564276af4772e.jpg,"a white t-shirt with a logo on it, a white t-shirt with a logo on it, a white t-shirt with a logo on it"
22,Slim Jeans,Black,https://image.hm.com/assets/hm/d2/b6/d2b600f3bcfc2f061a1e7ec6353fa0e0bcd2f092.jpg,"a pair of black pants, a black pants on a wall"
23,Muscle Fit Cotton Shirt,Light gray,https://image.hm.com/assets/hm/cb/3d/cb3d878f22bc92eddb4b15c5603c67fa23c24d7e.jpg,a close-up of a button-up shirt
24,Muscle Fit Cotton Shirt,Black,https://image.hm.com/assets/hm/e2/7f/e27f90e9a2ef07b593bd41dbe71184ef46d10609.jpg,"a black shirt on a white background, a black shirt on a swinger, a close-up of a button on a black shirt, a close up of a black shirt, a black shirt with buttons, a close up of a black shirt"
25,Baggy Jeans,Dark denim gray,https://image.hm.com/assets/hm/a9/c9/a9c948b779d1d73c401e3dc5325a9ddf8bc82f0a.jpg,"a pair of black jeans, a pair of black jeans, a close up of a pair of black jeans, a close up of a pocket"
26,Regular Fit Linen Shorts,Black,https://image.hm.com/assets/hm/f3/66/f366d042aa7b49b47ab454d4e814e3cde01c3e91.jpg,"a black shorts on a white background, a pair of black shorts, a close up of a pair of black shorts, a black shorts on a white background"
27,Loose Jeans,Denim gray,https://image.hm.com/assets/hm/41/d4/41d4333d220a88fa7c8bdab5e543b977771266f9.jpg,a pair of black and white striped pants
28,Regular Fit Linen-blend Shirt,White,https://image.hm.com/assets/hm/5f/34/5f34438232cc78b749fbc5adeaf3a4355fad3df3.jpg,"a white shirt on a swinger, a close up of a white shirt, a close-up of a button"
29,Regular Fit Knit T-shirt,Light beige,https://image.hm.com/assets/hm/30/0c/300cd96abc192f922c066f9359171dddbc479c77.jpg,"a white t-shirt on a white surface, a white shirt on a swinger, a close up of a white sweater"
30,Loose Jeans,Black,https://image.hm.com/assets/hm/a3/65/a3653aa0145a6408e8798410621cb1fc4f704c2b.jpg,"a pair of black jeans, a pair of black jeans"
